Cow cow
Fool fool
Now now
Freely free-lee
Sort of Sort uhv
Always awl-wayts
For days for dayz
Backward bak-wurd
stammered stam-wurd
Badly bad-lee
Barely bair-lee
Right there rait ther
A plus a plus
Boldly bohld-lee
Bravely brayv-lee
Brightly brayt-lee
Calmly kahm-lee
Chastely chayst-lee
Cheaply cheep-lee
Clearly kleer-lee
Daily day-lee
Deeply deep-lee
Directly di-rekt-lee
Fairly fair-lee
Fiercely feers-lee
Fondly fond-lee
Fully fool-lee
Gladly glad-lee
Harshly harsh-lee
Hotly hot-lee
Justly juhst-lee
Keenly keen-lee
Kindly kind-lee
Lightly lite-lee
Loudly loud-lee
Madly mad-lee
Mainly mayn-lee
Merely meer-lee
Mildly mild-lee
Mostly mohs-lee
Never nev-er
Nicely nighs-lee
Promptly prompt-lee
Quickly kwik-lee
Quietly kwy-it-lee
Rarely rair-lee
Safely sayf-lee
Scarcely skairs-lee
Sharply shar-plee
Sheerly sheer-lee
Silently si-lent-lee
Simply simp-lee
Slowly sloh-lee
Smoothly smooth-lee
Softly soft-lee
Strongly strawn-glee
Subtly suh-tlee
Tiredly tie-er-dlee
Vastly vast-lee
Warmly warm-lee
Weakly week-lee
Wisely wyze-lee
Ably ay-bil-lee
Seldomly sel-dum-lee
Abjectly ab-jekt-lee
Abruptly uh-bruhpt-lee
Abstrusely ab-stroo-slee
Irritates eer-it-ayts
Anxiously angk-shuhs-lee
Ardently ahr-dent-lee
Awfully aw-fuh-lee
Awkwardly awk-werd-lee
Blissfully bliss-fuh-lee
Bodily bod-ih-lee
Brutally broo-tuh-lee
Humbly hum-bil-lee
Candidly kan-id-lee
Cautiously kaw-shuhs-lee
Certainly sur-tun-lee
Cheerfully cheer-fuh-lee
Clarity klar-i-tee
Clumsily klum-zee-lee
Commonly kom-uhn-lee
Completely kum-pleet-lee
Consciously kon-shuhs-lee
Constantly kon-stuhnt-lee
Contently kuhn-tent-lee
Cunningly kun-ing-lee
Curiously kyoo-ree-uhs-lee
Daringly dair-ing-lee
Decently dee-sent-lee
Discreetly dis-kreet-lee
Distinctly dis-tinkt-lee
Easily ee-zuh-lee
Endlessly end-lis-lee
Exactly ig-zakt-lee
Extremely ik-stream-lee
Faithfully fayth-ful-lee
Fervently fur-vuhnt-lee
Flamboyantly flam-boy-uhnt-lee
Flawlessly flaw-lis-lee
Flexibly fleks-ih-blee
Frightfully fright-ful-lee
Frugally froo-guh-lee
Genuinely jen-yoo-in-lee
Graciously gray-shus-lee
Greatly grayt-lee
Grudgingly gruhj-ing-lee
Happily hap-ih-lee
Honestly on-ist-lee
Hopingly hohp-ing-lee
Horribly hor-uh-blee
Indirectly in-di-rekt-lee
Instantly in-stuhnt-lee
Intensely in-tense-lee
Intently in-tent-lee
Joyfully joy-ful-lee
Lavishly lav-ish-lee
Lazily lay-zee-lee
Lovingly luv-ing-lee
Maturely muh-chur-lee
Minutely my-newt-lee
Nervously nur-vuhs-lee
Noisily noy-zee-lee
Obviously ob-vih-uhs-lee
Openly oh-puhn-lee
Overly oh-ver-lee
Painfully payn-ful-lee
Partially pahr-shuh-lee
Perfectly pur-fect-lee
Politely puh-lite-lee
Precisely pri-sighs-lee
Privately pry-vuh-tlee
Profoundly pruh-found-lee
Profusely pruh-fyoo-slee
Publicly pub-lik-lee
Randomly ran-duhm-lee
Rapidly rap-id-lee
Readily red-i-lee
Really reel-lee
Recklessly rek-lis-lee
Rigidly rij-id-lee
Rigorous rig-er-us
Rushedly rush-id-lee
Securely si-kyoor-lee
Sedately si-dayt-lee
Sensibly sen-suh-blee
Seriously seer-ee-uhs-lee
Sincerely sin-seer-lee
Solemnly sol-em-lee
Somberly som-ber-lee
Steadily sted-ih-lee
Stubbornly stub-urn-lee
Suddenly sud-uhn-lee
Superbly soo-per-blee
Tactfully takt-ful-lee
Terribly ter-uh-blee
Thoroughly thur-oh-lee
Timidly tim-id-lee
Totally toh-tuh-lee
Tranquilly trang-kwih-lee
Trustfully truhst-ful-lee
Trustingly truhst-ing-lee
Truthfully trooth-ful-lee
Uniquely yoo-neek-lee
Untimely un-time-lee
Urgently ur-jent-lee
Virtuously vur-choo-uhs-lee
Vividly viv-id-lee
Wearily weir-uh-lee
Carefully kayr-ful-lee
Yearningly yurn-ing-lee
Abnormally ab-nor-muh-lee
Accurately ak-yur-it-lee
Actually ak-chu-uh-lee
Adaptably uh-dapt-uhb-lee
Admittedly uh-dmit-uh-lee
Aggressively uh-gres-iv-lee
Allegedly uh-lej-id-lee
Alluringly uh-loo-ring-lee
Amazingly uh-may-zing-lee
Ambiguously am-big-yoo-uhs-lee
Ambitiously am-bish-uhs-lee
Amicably am-i-kuh-blee
Amusingly uh-myoo-zing-lee
Assertively uh-sur-tiv-lee
Astoundingly uh-stound-ing-lee
Attractively uh-trak-tiv-lee
Beautifully byoo-tih-ful-lee
Casually kazh-oo-uh-lee
Chaotically kay-o-tik-lee
Coherently koh-heer-uhnt-lee
Cohesively koh-hee-siv-lee
Comfortably kum-fort-uh-blee
Compulsively kum-puhl-siv-lee
Confidently kon-fi-dent-lee
Conspicuously kon-spik-yoo-uhs-lee
Critically krit-i-klee
Deceptively dih-sep-tiv-lee
Decisively dih-sigh-siv-lee
Defensively dih-fen-siv-lee
Defiantly dih-fy-uhnt-lee
Delicately del-i-kate-lee
Delightfully dih-light-ful-lee
Dependably dih-pen-duh-blee
Depressingly dih-pres-ing-lee
Desperately des-puh-ret-lee
Diligently dil-i-juhnt-lee
Discrepantly dis-krep-uhnt-lee
Disturbingly dis-tur-bing-lee
Effectively ih-fek-tiv-lee
Efficiently ih-fish-uhnt-lee
Elegantly el-uh-gant-lee
Enormously ih-nor-muhs-lee
Equally ee-kwuh-lee
Especially es-peh-shuh-lee
Essentially uh-sen-shuh-lee
Ethically eth-i-kuh-lee
Exceedingly ik-see-ding-lee
Exclusively ik-skloo-siv-lee
